?€?„ìŠ¤?¬í”„,User name, How accurate is the word filtering level of that bot? Please grade it (from 1 to 100) ,"How accurate is the photo(jpeg, png, etc) filtering level of that bot? Please grade it (from 1 to 100)",(Effectiveness of Auto-Delete Feature)  how useful the auto - delete feature is for specific keywords. (from 1 to 100) ,(Consistency in function Execution) how consistency the bot performs its functions? (from 1 to 100),(Responds speed) how much satisfied the speeds which the bot detects and deletes message or images? (from 1 to 100),What's the overall satisfaction with this bot running? (from 1 to 100),Please enter the desired improvement
2024. 11. 11 ?¤ì „ 8:42:05,Yi_hing,100,100,100,,100,100,nothing 
2024. 11. 11 ?¤ì „ 8:44:41,delicious,80,100,80,100,80,80,need to change the evaluation method 
2024. 11. 11 ?¤ì „ 8:47:13,KGB,80,80,90,70,100,95,I  want the manager to be back to work.  
2024. 11. 11 ?¤ì „ 8:50:44,GOLD,70,80,90,60,80,70,please make more classifications to separate the keyword for filtering 
2024. 11. 11 ?¤ì „ 8:59:45,ilev,100,100,100,100,100,100,nothing 
2024. 11. 11 ?¤ì „ 9:00:26,iim8750,100,100,100,100,100,100,nothing 
2024. 11. 11 ?¤í›„ 12:37:03,ju_person ,80,100,100,80,100,90,A  limit on the number of times required to send warning messages
2024. 11. 11 ?¤í›„ 12:39:09,nrl1745,100,100,100,100,100,100,nothing 
2024. 11. 11 ?¤í›„ 12:40:25,oasisliveat2025,100,100,100,100,100,100,nothing
2024. 11. 11 ?¤í›„ 12:41:44,Eve,100,100,100,100,100,100,nah
2024. 11. 11 ?¤í›„ 12:43:25,dohee-park,100,100,100,100,100,100,I love you
2024. 11. 11 ?¤í›„ 12:47:12,sekeong,100,100,100,100,100,100,no
2024. 11. 11 ?¤í›„ 12:49:44,pororo,99,85,90,89,99,89,need to changed the evaluation method
2024. 11. 11 ?¤í›„ 12:52:28,rice_cake00,85,80,82,79,100,80,"I just want human resource, because this system little bit scared to me"
2024. 11. 11 ?¤í›„ 12:58:04,Benjamin ,70,90,70,,100,80,there is a need classify points for censored  
2024. 11. 11 ?¤í›„ 12:59:38,yulja ,100,100,100,100,100,100,Why are you trying to censor my message???
2024. 11. 16 ?¤í›„ 11:12:14,Jh,100,100,100,100,100,100,nothing
2024. 11. 16 ?¤í›„ 11:13:38,yunbi,100,100,100,100,100,100,nothing 
2024. 11. 16 ?¤í›„ 11:15:46,sancho ,80,90,50,95,80,90,need more photo data 
2024. 11. 16 ?¤í›„ 11:21:08,ad,80,80,90,90,80,80,bot alert system need to constraint by count 
2024. 11. 16 ?¤í›„ 11:23:10,ncorp ,80,70,80,90,85,95,"when image attachment with character, the system can't check the image.  "
2024. 11. 16 ?¤í›„ 11:24:28,hong ,100,70,90,90,80,80,img filter need more data 
